# 出典: 厚生労働省 職業情報提供サイト（日本版O-NET）「job tag」簡易版数値系ダウンロードデータ ver.7.00（最終更新 2026年3月17日／制作・著作：独立行政法人 労働政策研究・研修機構）（https://shigoto.mhlw.go.jp/User/download　2026年8月13日取得）
# 範囲: 37業界の業界平均。もとにした職業は318で、うち SE（基盤システム）だけ IT・エンジニアと社内SE の両方に入っています。建築設計技術者と土木設計技術者の2件は、値はありますが業界平均には入れていません
# 尺度: 各領域は 1.00〜5.00。高いほどその傾向が強い
# ライセンス: job tag 利用規約 第9条により二次利用可。出典表示（ファイル名とバージョン）が条件。設問文（第8条で複製禁止）は含みません。ここにあるのは数値だけです
# 列: realistic=手を動かす / investigative=調べて突き止める / artistic=表現する / social=人と関わる / enterprising=人を動かす / conventional=決まった手順を正確に回す
# 配布元: https://tekishoku-compass.com/dataset/ （シゴトミル）。ここまでの6行は # で始まるコメント行です
slug,name,realistic,investigative,artistic,social,enterprising,conventional
consulting,コンサル,2.89,3.19,2.65,3.49,3.63,2.69
engineer,IT・エンジニア,3.45,3.42,2.75,3.15,3.17,2.93
inhouse-se,社内SE,3.47,3.31,2.60,3.22,3.10,3.19
construction,建設・施工管理,3.58,3.13,2.76,3.46,3.36,3.14
sales,営業,3.02,2.97,2.58,3.84,3.57,3.20
medical-care,医療・介護・保育,3.07,2.94,2.59,4.11,2.93,3.18
shigyo,士業,2.60,3.26,2.26,3.86,3.49,3.50
admin,経理・人事・総務,3.09,2.98,2.47,3.13,3.22,3.36
admin-manager,管理部門（課長級）,3.25,3.12,2.32,3.73,3.78,3.58
marketing,マーケティング,3.07,3.43,3.22,3.44,3.59,3.09
logistics,物流・ドライバー,3.18,2.61,2.40,2.87,2.54,3.20
creative,クリエイティブ,3.58,3.40,3.93,3.41,3.33,2.91
maker,メーカー技術職,3.61,3.54,2.55,3.04,3.08,3.01
finance,金融,3.06,3.42,2.34,3.59,3.42,3.19
retail,販売・小売,3.28,2.77,2.84,3.98,3.24,3.26
food,飲食,3.25,3.05,2.96,3.59,3.06,3.15
education,教育,3.19,3.35,3.20,3.92,3.30,3.16
civil-service,公務員（行政）,3.11,3.24,2.44,3.58,3.10,3.46
public-safety,警察・消防・自衛隊,3.43,3.04,2.18,3.75,3.13,3.47
doctor,医師・歯科医師,3.37,3.33,2.87,3.53,2.98,3.08
rehab,リハビリ・治療,3.31,3.52,2.69,4.20,3.07,3.12
clinical-tech,臨床検査・医療技術,3.76,3.36,2.59,3.78,2.79,3.47
welfare,福祉・相談支援,2.87,2.90,2.75,3.82,3.07,2.99
hotel-travel,ホテル・観光・ブライダル,3.03,2.82,2.86,3.94,3.35,3.13
beauty,美容・理容,3.44,3.43,3.60,4.09,3.10,3.06
transport,鉄道・航空・海運,3.50,2.98,2.43,3.47,3.01,3.48
craft,建設技能・職人,3.74,2.98,2.84,3.22,2.90,3.20
metalwork,製造技能（金属加工）,3.32,2.99,2.47,2.74,2.67,3.07
assembly,組立・生産ライン,3.52,2.83,2.45,2.65,2.64,3.07
food-manufacturing,食品製造,3.49,3.02,2.62,3.18,2.93,3.33
chemical,化学・素材・日用品製造,3.44,3.03,2.82,2.82,2.85,3.11
research,研究職,3.70,4.14,2.68,3.28,3.20,3.01
media,マスコミ・放送・出版,3.47,3.47,3.70,3.78,3.43,2.87
office,一般事務・オフィスワーク,3.02,2.69,2.48,3.35,2.92,3.40
agriculture,農林水産,3.77,3.41,2.44,2.94,2.88,3.20
facility,ビルメンテナンス・施設管理,3.37,2.81,2.30,3.30,2.82,3.37
legal,法律・会計（弁護士・会計士）,2.96,3.55,2.45,3.62,3.36,3.28
