# 出典: 厚生労働省 職業情報提供サイト（日本版O-NET）「job tag」簡易版数値系ダウンロードデータ ver.7.00（最終更新 2026年3月17日／制作・著作：独立行政法人 労働政策研究・研修機構）（https://shigoto.mhlw.go.jp/User/download　2026年8月13日取得）
# 範囲: 320職業。6領域はすべての職業にあり、仕事価値観の11項目は値の無い職業が2件ある（空欄）。industry 列（37業界の分類）と slug は当サイトが付けたもので、job tag の原データには無い
# 尺度: 6領域・仕事価値観とも 1.00〜5.00。高いほどその傾向が強い。丸めは四捨五入・小数第2位
# ライセンス: job tag 利用規約 第9条（編集・加工・再集計等の二次利用可。出典表示が条件）。https://shigoto.mhlw.go.jp/User/tos
# 列: id=job tag の収録番号 / slug,industry=当サイトの分類 / realistic=手を動かす / investigative=調べて突き止める / artistic=表現する / social=人と関わる / enterprising=人を動かす / conventional=決まった手順を正確に回す / 以降11列=仕事価値観（何をどれだけ大事にしているかの値。実際の給与額・労働時間・安全性そのものではない。列名は当サイトの略記。原語は https://tekishoku-compass.com/dataset/ 参照）
# 配布元: https://tekishoku-compass.com/dataset/ （シゴトミル）。ここまでの6行は # で始まるコメント行です
id,slug,name,industry,realistic,investigative,artistic,social,enterprising,conventional,達成感,自律性,専門性,自己成長,社会的認知,奉仕貢献,対人関係,労働安全,私生活,雇用安定,報酬
2,baker,パン製造、パン職人,food-manufacturing,3.47,3.44,3.26,3.31,3.00,3.24,3.09,2.82,2.85,3.15,2.97,2.91,3.15,3.18,3.41,3.27,3.12
3,patissier,洋菓子製造、パティシエ,food-manufacturing,3.35,3.00,2.95,3.24,2.84,3.46,3.60,3.25,3.33,3.30,2.90,2.75,3.20,3.40,3.38,3.10,2.80
4,wagashi-maker,和菓子製造、和菓子職人,food-manufacturing,3.46,3.02,2.88,3.11,2.91,3.11,3.33,3.07,3.07,3.19,2.77,2.49,2.98,3.21,3.12,2.84,2.49
5,dairy-manufacturing,乳製品製造,food-manufacturing,3.58,3.05,2.65,3.18,2.98,3.35,2.88,3.00,2.91,2.94,2.73,2.67,2.97,3.12,3.21,2.94,2.46
6,surimi-manufacturing,水産ねり製品製造,food-manufacturing,3.62,2.89,2.54,3.16,2.84,3.46,2.90,2.65,2.77,2.61,2.32,2.58,2.52,2.90,2.84,2.74,2.48
7,frozen-food-manufacturing,冷凍加工食品製造,food-manufacturing,3.48,2.81,2.60,3.29,2.86,3.33,2.76,2.87,2.73,2.71,2.44,2.42,3.00,2.89,3.04,2.98,2.51
8,deli-food-manufacturing,惣菜製造,food-manufacturing,3.43,2.51,2.30,3.13,2.64,3.44,3.24,3.14,2.96,3.06,2.56,2.98,3.26,3.58,3.46,3.34,2.80
9,sake-brewing,清酒製造,food-manufacturing,3.55,3.11,2.79,3.16,3.03,3.21,3.14,3.09,3.54,3.23,2.77,2.86,3.26,3.09,3.11,3.23,2.66
11,soy-sauce-manufacturing,しょうゆ製造,food-manufacturing,3.67,3.23,2.51,3.08,3.08,3.44,3.33,3.33,3.29,3.00,2.86,2.86,3.10,3.29,3.29,3.10,2.71
12,ham-sausage-manufacturing,ハム・ソーセージ・ベーコン製造,food-manufacturing,3.30,2.74,2.54,2.83,2.65,3.33,3.12,3.07,3.02,3.16,2.56,2.74,3.00,3.00,3.14,3.28,2.65
